iter	Passed	Remaining
0	1	172
1	4	220
2	6	198
3	6	166
4	8	152
5	9	142
6	10	134
7	11	128
8	15	157
9	17	155
10	19	154
11	20	150
12	21	144
13	22	140
14	24	137
15	25	133
16	27	133
17	30	138
18	40	171
19	42	171
20	46	176
21	48	171
22	50	167
23	51	163
24	53	159
25	56	159
26	61	165
27	64	166
28	69	170
29	71	166
30	74	166
31	79	168
32	81	165
33	85	166
34	90	168
35	92	164
36	95	162
37	109	179
38	111	174
39	113	170
40	114	165
41	115	159
42	116	154
43	119	152
44	121	148
45	122	144
46	123	139
47	125	135
48	126	131
49	127	127
50	128	123
51	129	119
52	131	116
53	136	115
54	137	112
55	138	108
56	144	108
57	145	105
58	147	102
59	154	102
60	155	99
61	156	96
62	158	93
63	159	89
64	161	86
65	162	83
66	166	81
67	170	80
68	174	78
69	176	75
70	177	72
71	181	70
72	183	67
73	184	64
74	188	62
75	190	60
76	191	57
77	192	54
78	199	52
79	200	50
80	203	47
81	207	45
82	208	42
83	212	40
84	217	38
85	219	35
86	221	33
87	222	30
88	228	28
89	230	25
90	233	23
91	234	20
92	236	17
93	244	15
94	246	12
95	248	10
96	251	7
97	253	5
98	254	2
99	255	0
